model,method,valid_samples,total_samples,validity,diversity,retro_score,membership,novelty,qed,lipinski,scaffold_div
llama_31_8b,ars,560.8888888888889,1000.0,0.8711111111111111,0.8244873510727527,0.5844444444444444,0.8400000000000001,0.9813410611749247,0.43564040529069054,0.9382277531723788,0.3477506363063187
llama_31_8b,cars,634.7777777777778,1000.0,0.8722222222222222,0.8316113677122601,0.5611111111111111,0.8500000000000001,0.9770875971810988,0.439401546203709,0.93939623869187,0.354831554631049
llama_31_8b,rs,98.44444444444444,784.5555555555555,0.5566666666666666,0.5808355901129514,0.33666666666666667,0.5266666666666667,0.6652949245541838,0.30511273791243165,0.6057920166359705,0.2829138745038876
llama_31_8b,rsft,96.33333333333333,777.7777777777778,0.5288888888888889,0.5779671623065255,0.31444444444444447,0.5133333333333333,0.6649831649831649,0.3040519124868223,0.611601193116508,0.2553618576929377
