model,dataset,method,valid_samples,total_samples,validity,diversity,retro_score,membership,novelty,qed,lipinski,scaffold_div
qwen_25_7b,acrylates,ars,777.0,1000.0,0.9966666666666667,0.22603749205771972,0.9899999999999999,0.9966666666666667,0.8963299663299663,0.34116242656598267,0.9833333333333334,0.04346801346801347
qwen_25_7b,acrylates,cars,890.0,1000.0,0.9899999999999999,0.2472343270427382,0.9733333333333333,0.9899999999999999,0.8855218855218855,0.3451130452773273,0.9865319865319866,0.04040404040404041
qwen_25_7b,acrylates,rs,6.666666666666667,2000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
qwen_25_7b,acrylates,rsft,6.0,2000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
qwen_25_7b,chain,ars,975.3333333333334,1000.0,0.9933333333333333,0.7642519581546274,0.37666666666666665,0.9933333333333333,0.926122448979592,0.4508157843873469,0.9596598639455781,0.010068027210884354
qwen_25_7b,chain,cars,994.3333333333334,1000.0,0.9933333333333333,0.7473495670774944,0.36999999999999994,0.9933333333333333,0.9193197278911565,0.4549813812206769,0.9731972789115645,0.013401360544217686
qwen_25_7b,chain,rs,100.0,104.0,0.9833333333333334,0.7595108088157362,0.3133333333333333,0.9833333333333334,0.9593876913464543,0.4536177960668097,0.9795897115484745,0.010170432850845222
qwen_25_7b,chain,rsft,100.0,103.33333333333333,0.9899999999999999,0.7481638248123557,0.30666666666666664,0.9899999999999999,0.9496268810554525,0.4465733812775239,0.9629602143887858,0.010101697244554389
qwen_25_7b,isocyanates,ars,948.6666666666666,1000.0,0.86,0.7608610338070064,0.4066666666666667,0.86,1.0,0.43767211381847493,0.7983511586452763,0.5043226381461675
qwen_25_7b,isocyanates,cars,956.0,1000.0,0.87,0.7615962460630898,0.43,0.87,1.0,0.44549785961235067,0.8279264173410125,0.4714375106315764
qwen_25_7b,isocyanates,rs,100.0,106.66666666666667,0.8733333333333334,0.7602176231324528,0.4066666666666667,0.8733333333333334,0.992196056955093,0.44263484093786865,0.8208979775244836,0.4808840757635939
qwen_25_7b,isocyanates,rsft,100.0,108.66666666666667,0.9066666666666667,0.7688482542796765,0.42333333333333334,0.9066666666666667,0.9962962962962963,0.4388160165040658,0.8165056360708535,0.5292270531400965
